|eventname                                                                                           |lastn                                                                                               |firstn                                                                                              |country                                                                                             |gender                                                                                              |medal                                                                                               |
|4X200M Freestyle Relay                                                                              |magnini                                                                                             |filippo                                                                                             |ITA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|4X200M Freestyle Relay                                                                              |pelliciari                                                                                          |matteo                                                                                              |ITA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|4X200M Freestyle Relay                                                                              |rosolino                                                                                            |massimiliano                                                                                        |ITA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|4X200M Freestyle Relay                                                                              |goldblatt                                                                                           |scott                                                                                               |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X200M Freestyle Relay                                                                              |keller                                                                                              |klete                                                                                               |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X200M Freestyle Relay                                                                              |ketchum                                                                                             |dan                                                                                                 |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X200M Freestyle Relay                                                                              |lochte                                                                                              |ryan                                                                                                |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X200M Freestyle Relay                                                                              |phelps                                                                                              |michael                                                                                             |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X200M Freestyle Relay                                                                              |vanderkaay                                                                                          |peter                                                                                               |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X200M Freestyle Relay                                                                              |hackett                                                                                             |grant                                                                                               |AUS                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|4X200M Freestyle Relay                                                                              |klim                                                                                                |michael                                                                                             |AUS                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|4X200M Freestyle Relay                                                                              |matkovich                                                                                           |antony                                                                                              |AUS                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|4X200M Freestyle Relay                                                                              |pearson                                                                                             |todd                                                                                                |AUS                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|4X200M Freestyle Relay                                                                              |sprenger                                                                                            |nicholas                                                                                            |AUS                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|4X200M Freestyle Relay                                                                              |stevens                                                                                             |craig                                                                                               |AUS                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|4X200M Freestyle Relay                                                                              |thorpe                                                                                              |ian                                                                                                 |AUS                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|4X200M Freestyle Relay                                                                              |buschschulte                                                                                        |antje                                                                                               |GER                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|4X200M Freestyle Relay                                                                              |dallmann                                                                                            |petra                                                                                               |GER                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|4X200M Freestyle Relay                                                                              |goetz                                                                                               |janina kristin                                                                                      |GER                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|4X200M Freestyle Relay                                                                              |harstick                                                                                            |sara                                                                                                |GER                                                                                                 |Women                                                                                               |Bronze                                                                                              |
